ID,BedrijfskenmerkenSBI2008,Perioden,Ziekteverzuimpercentage_1
694,307500 ,2022JJ00,6.5
695,307500 ,2023KW01,6.8
696,307500 ,2023KW02,5.7
697,307500 ,2023KW03,5.5
698,307500 ,2023KW04,6.4
699,307500 ,2023JJ00,6.1
700,307610 ,1996KW01,5.7
701,307610 ,1996KW02,4.7
702,307610 ,1996KW03,4.2
703,307610 ,1996KW04,5.2
704,307610 ,1996JJ00,4.9
705,307610 ,1997KW01,5.6
706,307610 ,1997KW02,4.8
707,307610 ,1997KW03,4.7
708,307610 ,1997KW04,5.4
709,307610 ,1997JJ00,5.1
710,307610 ,1998KW01,5.8
711,307610 ,1998KW02,5.5
712,307610 ,1998KW03,5.2
713,307610 ,1998KW04,5.7
714,307610 ,1998JJ00,5.5
715,307610 ,1999KW01,6.5
716,307610 ,1999KW02,5.9
717,307610 ,1999KW03,5.8
718,307610 ,1999KW04,6.3
719,307610 ,1999JJ00,6.1
720,307610 ,2000KW01,6.0
721,307610 ,2000KW02,5.4
722,307610 ,2000KW03,5.2
723,307610 ,2000KW04,6.5
724,307610 ,2000JJ00,5.8
725,307610 ,2001KW01,6.3
726,307610 ,2001KW02,5.7
727,307610 ,2001KW03,5.2
728,307610 ,2001KW04,6.0
729,307610 ,2001JJ00,5.8
730,307610 ,2002KW01,6.1
731,307610 ,2002KW02,5.4
732,307610 ,2002KW03,4.8
733,307610 ,2002KW04,5.6
734,307610 ,2002JJ00,5.5
735,307610 ,2003KW01,5.4
736,307610 ,2003KW02,4.7
737,307610 ,2003KW03,4.2
738,307610 ,2003KW04,4.9
739,307610 ,2003JJ00,4.8
740,307610 ,2004KW01,5.0
741,307610 ,2004KW02,4.3
742,307610 ,2004KW03,4.0
743,307610 ,2004KW04,4.7
744,307610 ,2004JJ00,4.5
745,307610 ,2005KW01,5.0
746,307610 ,2005KW02,4.4
747,307610 ,2005KW03,4.0
748,307610 ,2005KW04,4.8
749,307610 ,2005JJ00,4.6
750,307610 ,2006KW01,5.0
751,307610 ,2006KW02,4.3
